Referencia,Perfil,Género,Jornada laboral,Equipo,Ubicación,Nivel Estudios,Estado Civil,Fecha Nacimiento,Edad,Antigüedad,Fecha Fin,Años en Empresa,Grupo Profesional,Salario mensual,Categoria,Distancia al trabajo (KM),Promociones,Nivel de satisfacción
TRB-0000199,Activo,Mujer,COMPLETA,BARCELONA,ESPAÑA,Máster,SOLTERO/A,23/01/1992,33,06/02/2023,,2,GRUPO 2.2,2445,TECNICAS,2,1,3
TRB-0000200,No activo,Hombre,PARCIAL,EUSKADI,ESPAÑA,Máster,SOLTERO/A,07/07/1997,28,20/02/2023,31/07/2023,0,GRUPO 4,1930,TECNICAS,14,0,4
TRB-0000201,No activo,Hombre,COMPLETA,UNION EUROPEA,EXPATRIADO,Grado Universitario,SOLTERO/A,16/07/1979,46,20/02/2023,20/02/2024,1,GRUPO 2.1,2562,TECNICAS,18,0,3
TRB-0000202,Activo,Hombre,COMPLETA,BARCELONA,ESPAÑA,Grado Universitario,CASADO,20/03/1968,57,27/02/2023,,2,GRUPO 2.2,2547,TECNICAS,3,1,4
TRB-0000203,No activo,Mujer,COMPLETA,MAGREB,EXPATRIADO,Grado Universitario,SOLTERO/A,03/09/1989,36,06/03/2023,30/06/2024,1,GRUPO 3.1,2195,TECNICAS,16,0,4
TRB-0000205,No activo,Mujer,PARCIAL,VALENCIA,ESPAÑA,--,SOLTERO/A,,125,#N/A,,#N/A,N/A,#N/A,BECARIO,8,0,3
TRB-0000206,No activo,Mujer,PARCIAL,VALLADOLID,ESPAÑA,Grado Universitario,SOLTERO/A,01/06/1993,32,01/03/2023,28/04/2023,0,GRUPO 3.2,2012,TECNICAS,11,0,3
TRB-0000207,No activo,Mujer,COMPLETA,ORIENTE MEDIO,EXPATRIADO,Máster,CASADO,19/10/1987,38,21/03/2023,29/02/2024,0,GRUPO 3.2,2012,TECNICAS,20,0,3
TRB-0000208,No activo,Mujer,COMPLETA,ORIENTE MEDIO,EXPATRIADO,Máster,SOLTERO/A,02/11/1996,29,21/03/2023,08/01/2024,0,GRUPO 3.2,2012,TECNICAS,5,0,4
TRB-0000209,Activo,Mujer,COMPLETA,MAGREB,EXPATRIADO,Bachillerato,SOLTERO/A,18/07/1994,31,03/04/2023,,2,GRUPO 3.2,2099,TECNICAS,4,0,3
TRB-0000210,Activo,Mujer,COMPLETA,EL SALVADOR,EXPATRIADO,Máster,SOLTERO/A,03/11/1998,27,17/04/2023,,2,GRUPO 3.1,2288,TECNICAS,5,0,1
TRB-0000211,No activo,Mujer,COMPLETA,BARCELONA,ESPAÑA,Máster,SOLTERO/A,10/05/1991,34,16/05/2023,30/06/2023,0,GRUPO 4,1930,TECNICAS,9,0,4
TRB-0000212,Activo,Mujer,COMPLETA,BARCELONA,ESPAÑA,Grado Universitario,SOLTERO/A,06/05/1993,32,29/05/2023,,2,GRUPO 2.2,2445,TECNICAS,12,0,2
TRB-0000213,Activo,Hombre,COMPLETA,ORIENTE MEDIO,EXPATRIADO,Máster,CASADO,11/08/1994,31,05/06/2023,,2,GRUPO 3.1,2206,TECNICAS,6,1,4
